Object,X,Y,Z,Time
Sun,    1.0898E+06,    1.9732E+04,    0.0000E+00,            3240000.
Jupiter,    7.7746E+11,    4.2423E+10,    0.0000E+00,            3240000.
Sun,    1.1306E+06,    2.0851E+04,    0.0000E+00,            3300000.
Jupiter,    7.7742E+11,    4.3208E+10,    0.0000E+00,            3300000.
Sun,    1.1721E+06,    2.2011E+04,    0.0000E+00,            3360000.
Jupiter,    7.7737E+11,    4.3993E+10,    0.0000E+00,            3360000.
Sun,    1.2144E+06,    2.3213E+04,    0.0000E+00,            3420000.
Jupiter,    7.7733E+11,    4.4778E+10,    0.0000E+00,            3420000.
Sun,    1.2574E+06,    2.4459E+04,    0.0000E+00,            3480000.
Jupiter,    7.7728E+11,    4.5562E+10,    0.0000E+00,            3480000.
Sun,    1.3012E+06,    2.5748E+04,    0.0000E+00,            3540000.
Jupiter,    7.7724E+11,    4.6347E+10,    0.0000E+00,            3540000.
Sun,    1.3457E+06,    2.7081E+04,    0.0000E+00,            3600000.
Jupiter,    7.7719E+11,    4.7132E+10,    0.0000E+00,            3600000.
Sun,    1.3909E+06,    2.8460E+04,    0.0000E+00,            3660000.
Jupiter,    7.7714E+11,    4.7916E+10,    0.0000E+00,            3660000.
Sun,    1.4369E+06,    2.9885E+04,    0.0000E+00,            3720000.
Jupiter,    7.7709E+11,    4.8701E+10,    0.0000E+00,            3720000.
Sun,    1.4837E+06,    3.1357E+04,    0.0000E+00,            3780000.
Jupiter,    7.7705E+11,    4.9485E+10,    0.0000E+00,            3780000.
Sun,    1.5312E+06,    3.2876E+04,    0.0000E+00,            3840000.
Jupiter,    7.7700E+11,    5.0270E+10,    0.0000E+00,            3840000.
Sun,    1.5794E+06,    3.4444E+04,    0.0000E+00,            3900000.
Jupiter,    7.7695E+11,    5.1054E+10,    0.0000E+00,            3900000.
Sun,    1.6284E+06,    3.6060E+04,    0.0000E+00,            3960000.
Jupiter,    7.7689E+11,    5.1838E+10,    0.0000E+00,            3960000.
Sun,    1.6781E+06,    3.7727E+04,    0.0000E+00,            4020000.
Jupiter,    7.7684E+11,    5.2622E+10,    0.0000E+00,            4020000.
Sun,    1.7286E+06,    3.9443E+04,    0.0000E+00,            4080000.
Jupiter,    7.7679E+11,    5.3407E+10,    0.0000E+00,            4080000.
Sun,    1.7798E+06,    4.1212E+04,    0.0000E+00,            4140000.
Jupiter,    7.7674E+11,    5.4191E+10,    0.0000E+00,            4140000.
Sun,    1.8318E+06,    4.3032E+04,    0.0000E+00,            4200000.
Jupiter,    7.7668E+11,    5.4975E+10,    0.0000E+00,            4200000.
Sun,    1.8845E+06,    4.4905E+04,    0.0000E+00,            4260000.
Jupiter,    7.7663E+11,    5.5759E+10,    0.0000E+00,            4260000.
Sun,    1.9380E+06,    4.6832E+04,    0.0000E+00,            4320000.
Jupiter,    7.7657E+11,    5.6543E+10,    0.0000E+00,            4320000.
Sun,    1.9922E+06,    4.8813E+04,    0.0000E+00,            4380000.
